uid,latitude,longitude,empty_slots,free_bikes,ll
109,19.4374,-99.137571,15,4,"19.4374,-99.137571"
272,19.436531,-99.131497,17,6,"19.436531,-99.131497"
108,19.436741,-99.134811,23,12,"19.436741,-99.134811"
15,19.433766,-99.130918,16,7,"19.433766,-99.130918"
256,19.430722,-99.133698,14,5,"19.430722,-99.133698"
102,19.429189,-99.132759,15,0,"19.429189,-99.132759"
99,19.428485,-99.1338,22,1,"19.428485,-99.1338"
253,19.427059,-99.137116,9,2,"19.427059,-99.137116"
100,19.426755,-99.135014,8,15,"19.426755,-99.135014"
104,19.427305,-99.149533,19,4,"19.427305,-99.149533"
114,19.425311,-99.137421,12,19,"19.425311,-99.137421"
110,19.432819,-99.151734,4,19,"19.432819,-99.151734"
115,19.430369,-99.154419,14,1,"19.430369,-99.154419"
215,19.428989,-99.153618,14,9,"19.428989,-99.153618"
133,19.429947,-99.159698,21,6,"19.429947,-99.159698"
121,19.428985,-99.15664,17,6,"19.428985,-99.15664"
174,19.427114,-99.158251,4,15,"19.427114,-99.158251"
167,19.425437,-99.159458,9,6,"19.425437,-99.159458"
278,19.424137,-99.161317,2,13,"19.424137,-99.161317"
105,19.425502,-99.146337,19,12,"19.425502,-99.146337"
116,19.424161,-99.153117,13,14,"19.424161,-99.153117"
193,19.422288,-99.162138,30,4,"19.422288,-99.162138"
194,19.423318,-99.15833,23,4,"19.423318,-99.15833"
88,19.422148,-99.160645,10,13,"19.422148,-99.160645"
183,19.419579,-99.161314,8,11,"19.419579,-99.161314"
138,19.420667,-99.15645,14,9,"19.420667,-99.15645"
270,19.421138,-99.154725,25,10,"19.421138,-99.154725"
175,19.418304,-99.15956,7,12,"19.418304,-99.15956"
268,19.419225,-99.155099,19,4,"19.419225,-99.155099"
254,19.417715,-99.162729,9,10,"19.417715,-99.162729"
143,19.418774,-99.157081,18,9,"19.418774,-99.157081"
144,19.416128,-99.162097,8,15,"19.416128,-99.162097"
271,19.415905,-99.15954,5,26,"19.415905,-99.15954"
168,19.414303,-99.157542,10,13,"19.414303,-99.157542"
