POI_name,latitude,longitude,distance,category_name,category_id,prices,bike_ll,,,
La Cima,19.432791,-99.151747,3,Bar,13003,2,"19.432819,-99.151734",,"19.46,-99.13",top right
Viento en Popa,19.432556,-99.151432,43,Seafood Restaurant,13338,3,"19.432819,-99.151734",,"19.38, -99.2",bottom left
El Mana,19.432653,-99.152212,48,Mexican Restaurant,13303,1,"19.432819,-99.151734",,,
El tequio,19.433077,-99.152199,56,Mexican Restaurant,13303,1,"19.432819,-99.151734",,,
Cantina el Dragón de Oro,19.432772,-99.152359,65,Restaurant,13065,2,"19.432819,-99.151734",,,
"Tequio ""Sazón Chilango""",19.433237,-99.152187,66,Taco Restaurant,13306,1,"19.432819,-99.151734",,"19.408841,-99.181692",
Los Tacos del Seven,19.433188,-99.152015,66,Taco Restaurant,13306,1,"19.432819,-99.151734",,,
Cantina el Dragón de Oro,19.432631,-99.152336,66,Bistro,13027,NaN,"19.432819,-99.151734",,,
Cafeteria de Cuba,19.432507,-99.151154,69,Restaurant,13065,NaN,"19.432819,-99.151734",,,
El Buen Amigo,19.432507,-99.151154,74,Burger Joint,13031,1,"19.432819,-99.151734",,,
El Cielo,19.433368,-99.151738,75,Mexican Restaurant,13303,1,"19.432819,-99.151734",,,
Café la Habana,19.432479,-99.151221,81,Café,13034,2,"19.432819,-99.151734",,,
Tacos el Carnal,19.432507,-99.151154,81,Taco Restaurant,13306,1,"19.432819,-99.151734",,,
Brujas Café,19.432314,-99.151306,83,Coffee Shop,13035,1,"19.432819,-99.151734",,,
Articulo #123,19.432946,-99.151033,85,Thai Restaurant,13352,2,"19.432819,-99.151734",,,
Caldos Bens,19.422332,-99.162116,5,Restaurant,13065,NaN,"19.422288,-99.162138",,,
Casa Lorenzo,19.422647,-99.162138,21,Mexican Restaurant,13303,1,"19.422288,-99.162138",,,
Daddy's Burgers & Salads,19.422374,-99.161857,30,Burger Joint,13031,1,"19.422288,-99.162138",,,
Las Gorditas de Puebla,19.422402,-99.16179,39,Mexican Restaurant,13303,1,"19.422288,-99.162138",,,
Gorditas de la glorieta,19.422813,-99.161736,55,Mexican Restaurant,13303,1,"19.422288,-99.162138",,,
Taquería Vista Hermosa,19.422731,-99.16162,56,Taco Restaurant,13306,1,"19.422288,-99.162138",,,
Hungry Beast Juice Bar & Kitchen,19.422172,-99.160933,15,Restaurant,13065,1,"19.422148,-99.160645",,,
Bottega Sartoria,19.4222,-99.160866,16,Deli,13039,1,"19.422148,-99.160645",,,
