,empty_slots,free_bikes,POI_name,POI_latitude,POI_longitude,category_name,category_id,price,rating,distance,bike_ll,bike_latitude,bike_longitude,reversed_POI_lat
0,15,4,Cueva Colomba,19.43734,-99.137459,Bar,13003.0,2.0,6.1,13.0,"19.4374,-99.137571",19.4374,-99.137571,19.43734
1,15,4,Tintico,19.43721,-99.137425,Coffee Shop,13035.0,1.0,7.6,16.0,"19.4374,-99.137571",19.4374,-99.137571,19.43721
2,15,4,La Cueva Colomba,19.437141,-99.137434,Pub,13018.0,1.0,6.1,18.0,"19.4374,-99.137571",19.4374,-99.137571,19.437141
3,15,4,Tintico Cafe & Galeria,19.43725,-99.137483,Café,13034.0,,,19.0,"19.4374,-99.137571",19.4374,-99.137571,19.43725
4,15,4,Cantina Río de la Plata,19.437195,-99.137617,Beer Bar,13006.0,1.0,6.6,20.0,"19.4374,-99.137571",19.4374,-99.137571,19.437195
5,15,4,"Los Tacos de Fonda Argentina, Centro Histórico",19.437262,-99.137925,BBQ Joint,13026.0,2.0,6.1,23.0,"19.4374,-99.137571",19.4374,-99.137571,19.437262
6,15,4,Salon Beer,19.437126,-99.137626,Bar,13003.0,2.0,,23.0,"19.4374,-99.137571",19.4374,-99.137571,19.437126
7,15,4,El Pecado,19.43721,-99.137425,Dive Bar,13010.0,1.0,5.9,26.0,"19.4374,-99.137571",19.4374,-99.137571,19.43721
8,15,4,Tacos liricos,19.437567,-99.137188,Mexican Restaurant,13303.0,1.0,,30.0,"19.4374,-99.137571",19.4374,-99.137571,19.437567
9,15,4,Manolo,19.437657,-99.137444,Diner,13049.0,1.0,,31.0,"19.4374,-99.137571",19.4374,-99.137571,19.437657
10,15,4,El Pixcuhuil,19.437674,-99.137871,Mexican Restaurant,13303.0,1.0,,31.0,"19.4374,-99.137571",19.4374,-99.137571,19.437674
11,15,4,El Enxebre,19.437262,-99.137925,Restaurant,13065.0,2.0,,32.0,"19.4374,-99.137571",19.4374,-99.137571,19.437262
12,15,4,El Otro Río,19.437155,-99.137242,Dive Bar,13010.0,2.0,6.0,34.0,"19.4374,-99.137571",19.4374,-99.137571,19.437155
13,15,4,Marejada. Tacos de Pesca.,19.437674,-99.137871,Taco Restaurant,13306.0,1.0,8.3,39.0,"19.4374,-99.137571",19.4374,-99.137571,19.437674
14,15,4,Bar la J,19.437125,-99.137943,Bar,13003.0,2.0,,46.0,"19.4374,-99.137571",19.4374,-99.137571,19.437125
15,15,4,HB Mex - Hamburguesas y Burritos,19.43783,-99.137618,Mexican Restaurant,13303.0,1.0,,48.0,"19.4374,-99.137571",19.4374,-99.137571,19.43783
16,15,4,Cantenario de la Plata,19.437126,-99.137626,Bar,13003.0,2.0,,55.0,"19.4374,-99.137571",19.4374,-99.137571,19.437126
17,17,6,Tortas la Españita,19.436439,-99.131445,Sandwich Restaurant,13334.0,1.0,,4.0,"19.436531,-99.131497",19.436531,-99.131497,19.436439
18,17,6,Salon Cantina España 25,19.436617,-99.131485,Bar,13003.0,2.0,7.6,15.0,"19.436531,-99.131497",19.436531,-99.131497,19.436617
19,17,6,Taquería Tlaquepaque,19.436411,-99.131512,Taco Restaurant,13306.0,1.0,,27.0,"19.436531,-99.131497",19.436531,-99.131497,19.436411
20,17,6,Bubble Waffle Co. Centro Histórico,19.436372,-99.131137,Café,13034.0,1.0,,49.0,"19.436531,-99.131497",19.436531,-99.131497,19.436372
21,17,6,Salón España,19.436684,-99.131793,Bar,13003.0,2.0,,203.0,"19.436531,-99.131497",19.436531,-99.131497,19.436684
22,23,12,La Jaliciense centro de la ciudad de mexico area 2,19.436864,-99.13481,Restaurant,13065.0,,,13.0,"19.436741,-99.134811",19.436741,-99.134811,19.436864
23,23,12,Quesadillas y tlacoyos en un zaguán,19.43689,-99.13506,Taco Restaurant,13306.0,1.0,,43.0,"19.436741,-99.134811",19.436741,-99.134811,19.43689
24,16,7,Museo de la Secretaría de Hacienda y Crédito Público,19.433658,-99.131113,Art Museum,10028.0,,7.0,8.0,"19.433766,-99.130918",19.433766,-99.130918,19.433658
25,16,7,El Antojo Comida de Autor,19.433591,-99.130805,Restaurant,13065.0,2.0,,23.0,"19.433766,-99.130918",19.433766,-99.130918,19.433591
26,16,7,Museo Tutankamón - Mexico,19.433934,-99.13076,Museum,10027.0,,,24.0,"19.433766,-99.130918",19.433766,-99.130918,19.433934
27,16,7,Terraza Moneda,19.433605,-99.130613,Lounge,13016.0,3.0,,25.0,"19.433766,-99.130918",19.433766,-99.130918,19.433605
28,14,5,Señor Chicharron,19.430714,-99.13376,Salad Restaurant,13332.0,1.0,,6.0,"19.430722,-99.133698",19.430722,-99.133698,19.430714
29,14,5,Los Chicharrones de 20 Nov,19.430646,-99.133852,Fast Food Restaurant,13145.0,1.0,,14.0,"19.430722,-99.133698",19.430722,-99.133698,19.430646
30,14,5,La Casa del Chicharrón,19.430537,-99.133486,Botanero,13304.0,,,26.0,"19.430722,-99.133698",19.430722,-99.133698,19.430537
31,14,5,Restaurante Sienra's,19.430419,-99.13365,"Cafes, Coffee, and Tea Houses",13032.0,1.0,6.5,34.0,"19.430722,-99.133698",19.430722,-99.133698,19.430419
32,14,5,"Restaurante Palacio, Centro",19.431085,-99.133731,Restaurant,13065.0,2.0,7.9,35.0,"19.430722,-99.133698",19.430722,-99.133698,19.431085
33,14,5,Viajes Palacio,19.431098,-99.133856,Restaurant,13065.0,,,42.0,"19.430722,-99.133698",19.430722,-99.133698,19.431098
34,15,0,La Rinconada,19.429167,-99.13286,Mexican Restaurant,13303.0,1.0,,10.0,"19.429189,-99.132759",19.429189,-99.132759,19.429167
35,15,0,Restaurante Rinconada,19.429045,-99.133175,Mexican Restaurant,13303.0,2.0,,44.0,"19.429189,-99.132759",19.429189,-99.132759,19.429045
36,15,0,Museo de la Ciudad de México,19.429309,-99.132381,Museum,10027.0,1.0,8.7,52.0,"19.429189,-99.132759",19.429189,-99.132759,19.429309
37,22,1,Chang Long,19.428479,-99.134073,Chinese Restaurant,13099.0,1.0,,21.0,"19.428485,-99.1338",19.428485,-99.1338,19.428479
38,22,1,Flor de Iguala,19.428452,-99.13414,Mexican Restaurant,13303.0,1.0,,23.0,"19.428485,-99.1338",19.428485,-99.1338,19.428452
