,POI_name,latitude,longitude,category_name,category_id,price,rating,distance,bike_ll
0,Cueva Colomba,19.43734,-99.137459,Bar,13003,2,6.1,13,"19.4374,-99.137571"
1,Tintico,19.43721,-99.137425,Coffee Shop,13035,1,7.6,16,"19.4374,-99.137571"
2,La Cueva Colomba,19.437141,-99.137434,Pub,13018,1,6.1,18,"19.4374,-99.137571"
3,Tintico Cafe & Galeria,19.43725,-99.137483,Café,13034,NaN,NaN,19,"19.4374,-99.137571"
4,Cantina Río de la Plata,19.437195,-99.137617,Beer Bar,13006,1,6.6,20,"19.4374,-99.137571"
5,"Los Tacos de Fonda Argentina, Centro Histórico",19.437262,-99.137925,BBQ Joint,13026,2,6.1,23,"19.4374,-99.137571"
6,Salon Beer,19.437126,-99.137626,Bar,13003,2,NaN,23,"19.4374,-99.137571"
7,El Pecado,19.43721,-99.137425,Dive Bar,13010,1,5.9,26,"19.4374,-99.137571"
8,Tacos liricos,19.437567,-99.137188,Mexican Restaurant,13303,1,NaN,30,"19.4374,-99.137571"
9,Manolo,19.437657,-99.137444,Diner,13049,1,NaN,31,"19.4374,-99.137571"
10,El Pixcuhuil,19.437674,-99.137871,Mexican Restaurant,13303,1,NaN,31,"19.4374,-99.137571"
11,El Enxebre,19.437262,-99.137925,Restaurant,13065,2,NaN,32,"19.4374,-99.137571"
12,El Otro Río,19.437155,-99.137242,Dive Bar,13010,2,6.0,34,"19.4374,-99.137571"
13,Marejada. Tacos de Pesca.,19.437674,-99.137871,Taco Restaurant,13306,1,8.3,39,"19.4374,-99.137571"
14,Bar la J,19.437125,-99.137943,Bar,13003,2,NaN,46,"19.4374,-99.137571"
15,HB Mex - Hamburguesas y Burritos,19.43783,-99.137618,Mexican Restaurant,13303,1,NaN,48,"19.4374,-99.137571"
16,Cantenario de la Plata,19.437126,-99.137626,Bar,13003,2,NaN,55,"19.4374,-99.137571"
17,Tortas la Españita,19.436439,-99.131445,Sandwich Restaurant,13334,1,NaN,4,"19.436531,-99.131497"
18,Salon Cantina España 25,19.436617,-99.131485,Bar,13003,2,7.6,15,"19.436531,-99.131497"
19,Taquería Tlaquepaque,19.436411,-99.131512,Taco Restaurant,13306,1,NaN,27,"19.436531,-99.131497"
20,Bubble Waffle Co. Centro Histórico,19.436372,-99.131137,Café,13034,1,NaN,49,"19.436531,-99.131497"
21,Salón España,19.436684,-99.131793,Bar,13003,2,NaN,203,"19.436531,-99.131497"
22,La Jaliciense centro de la ciudad de mexico area 2,19.436864,-99.13481,Restaurant,13065,NaN,NaN,13,"19.436741,-99.134811"
23,Quesadillas y tlacoyos en un zaguán,19.43689,-99.13506,Taco Restaurant,13306,1,NaN,43,"19.436741,-99.134811"
24,Museo de la Secretaría de Hacienda y Crédito Público,19.433658,-99.131113,Art Museum,10028,NaN,7.0,8,"19.433766,-99.130918"
25,El Antojo Comida de Autor,19.433591,-99.130805,Restaurant,13065,2,NaN,23,"19.433766,-99.130918"
26,Museo Tutankamón - Mexico,19.433934,-99.13076,Museum,10027,NaN,NaN,24,"19.433766,-99.130918"
27,Terraza Moneda,19.433605,-99.130613,Lounge,13016,3,NaN,25,"19.433766,-99.130918"
28,Señor Chicharron,19.430714,-99.13376,Salad Restaurant,13332,1,NaN,6,"19.430722,-99.133698"
29,Los Chicharrones de 20 Nov,19.430646,-99.133852,Fast Food Restaurant,13145,1,NaN,14,"19.430722,-99.133698"
30,La Casa del Chicharrón,19.430537,-99.133486,Botanero,13304,NaN,NaN,26,"19.430722,-99.133698"
31,Restaurante Sienra's,19.430419,-99.13365,"Cafes, Coffee, and Tea Houses",13032,1,6.5,34,"19.430722,-99.133698"
32,"Restaurante Palacio, Centro",19.431085,-99.133731,Restaurant,13065,2,7.9,35,"19.430722,-99.133698"
33,Viajes Palacio,19.431098,-99.133856,Restaurant,13065,NaN,NaN,42,"19.430722,-99.133698"
34,La Rinconada,19.429167,-99.13286,Mexican Restaurant,13303,1,NaN,10,"19.429189,-99.132759"
35,Restaurante Rinconada,19.429045,-99.133175,Mexican Restaurant,13303,2,NaN,44,"19.429189,-99.132759"
36,Museo de la Ciudad de México,19.429309,-99.132381,Museum,10027,1,8.7,52,"19.429189,-99.132759"
37,Chang Long,19.428479,-99.134073,Chinese Restaurant,13099,1,NaN,21,"19.428485,-99.1338"
38,Flor de Iguala,19.428452,-99.13414,Mexican Restaurant,13303,1,NaN,23,"19.428485,-99.1338"
39,El Buen Sazón,19.428755,-99.13372,Mexican Restaurant,13303,1,NaN,31,"19.428485,-99.1338"
40,Quesadillas Flor de Iguala,19.428503,-99.134128,Mexican Restaurant,13303,1,NaN,34,"19.428485,-99.1338"
41,Coffee Max Cafeteria Cibercafe,19.428806,-99.133736,Diner,13049,1,NaN,36,"19.428485,-99.1338"
42,La Joya Merendero,19.428372,-99.13339,Steakhouse,13383,2,NaN,55,"19.428485,-99.1338"
43,El Cantón,19.427059,-99.137072,Bar,13003,2,NaN,4,"19.427059,-99.137116"
44,Céntrico,19.4271,-99.137035,Bar,13003,2,NaN,9,"19.427059,-99.137116"
45,Hosteria la Bota,19.427179,-99.136904,Tapas Restaurant,13347,2,8.4,10,"19.427059,-99.137116"
46,El Depósito,19.427233,-99.137087,Bar,13003,2,7.7,10,"19.427059,-99.137116"
47,Mexica,19.426949,-99.13711,Mexican Restaurant,13303,1,NaN,12,"19.427059,-99.137116"
48,Chocolatería Mayordomo,19.427466,-99.13731,"Cafes, Coffee, and Tea Houses",13032,1,8.3,27,"19.427059,-99.137116"
49,Quesadillas Rafita,19.427426,-99.136935,Mexican Restaurant,13303,1,NaN,30,"19.427059,-99.137116"
50,La Fogatita,19.427398,-99.137002,Mexican Restaurant,13303,1,5.9,39,"19.427059,-99.137116"
51,tacos el Leon,19.426672,-99.137349,Taco Restaurant,13306,1,NaN,49,"19.427059,-99.137116"
52,Trattoria di Luu,19.426598,-99.135017,Pizzeria,13064,1,NaN,6,"19.426755,-99.135014"
53,Pescato's,19.426626,-99.13495,Seafood Restaurant,13338,3,6.7,8,"19.426755,-99.135014"
54,"Tacos ""el Papi""",19.426626,-99.13495,Mexican Restaurant,13303,1,6.8,10,"19.426755,-99.135014"
55,Taqueria el Silencioso,19.426939,-99.135288,Taco Restaurant,13306,1,6.3,18,"19.426755,-99.135014"
56,Pacha,19.426828,-99.135171,Bar,13003,2,NaN,18,"19.426755,-99.135014"
57,Pulquería la Chulada del Centro,19.427008,-99.135279,Beer Bar,13006,2,5.6,22,"19.426755,-99.135014"
58,La Chulada Pulques Chelas y Mezcal,19.426885,-99.135207,Bar,13003,2,NaN,24,"19.426755,-99.135014"
59,Taqueria el Papi,19.42657,-99.135084,Taco Restaurant,13306,1,NaN,24,"19.426755,-99.135014"
60,De Costa a Costa - Centro,19.426787,-99.134791,Seafood Restaurant,13338,3,NaN,26,"19.426755,-99.135014"
61,Perú Bar,19.426763,-99.135311,New American Restaurant,13314,3,NaN,31,"19.426755,-99.135014"
62,El Pechugón Perú Bar,19.427049,-99.135337,Peruvian Restaurant,13322,2,NaN,32,"19.426755,-99.135014"
63,Cantina Cosmopolita,19.426873,-99.134664,Bar,13003,2,7.1,34,"19.426755,-99.135014"
64,Terraza Barullo's Bar,19.426953,-99.135413,Beer Garden,13007,1,5.7,34,"19.426755,-99.135014"
65,Centro Cosmopolita,19.426873,-99.134664,Bar,13003,2,NaN,35,"19.426755,-99.135014"
66,"Tortas ""Shiro's""",19.427009,-99.134963,American Restaurant,13068,NaN,NaN,36,"19.426755,-99.135014"
67,La Mezcalita,19.426912,-99.135355,Bar,13003,2,6.0,38,"19.426755,-99.135014"
68,Pollos a la Brasa el Pechugón,19.427008,-99.135279,Peruvian Restaurant,13322,2,NaN,39,"19.426755,-99.135014"
69,Ensaladas Vero,19.426599,-99.1347,Sandwich Restaurant,13334,1,7.3,43,"19.426755,-99.135014"
70,Peggy Sues,19.427009,-99.134963,Burger Joint,13031,1,7.1,46,"19.426755,-99.135014"
71,El Jalisquillo,19.427415,-99.149537,Taco Restaurant,13306,1,NaN,12,"19.427305,-99.149533"
72,Comedor Secretaria de Gobernacion,19.427209,-99.149695,Diner,13049,1,NaN,14,"19.427305,-99.149533"
73,Sushi Movil,19.427223,-99.149503,Japanese Restaurant,13263,2,6.2,33,"19.427305,-99.149533"
74,Las Banderillas del Mini,19.427366,-99.14992,Fast Food Restaurant,13145,1,NaN,41,"19.427305,-99.149533"
75,Tacos de Guisado Balderas,19.427427,-99.149159,Taco Restaurant,13306,1,NaN,41,"19.427305,-99.149533"
76,Kangreburguers,19.427729,-99.149661,Burger Joint,13031,1,NaN,49,"19.427305,-99.149533"
77,Sushi San,19.425451,-99.137321,Japanese Restaurant,13263,2,6.9,13,"19.425311,-99.137421"
78,Tacos Soco,19.425518,-99.137628,Taco Restaurant,13306,1,NaN,18,"19.425311,-99.137421"
79,Donde Isabel,19.425588,-99.137303,Mexican Restaurant,13303,1,7.0,25,"19.425311,-99.137421"
80,Taquitos el Güero,19.425587,-99.137619,Taco Restaurant,13306,1,NaN,27,"19.425311,-99.137421"
81,El Rey de las Tortas,19.425518,-99.137628,Sandwich Restaurant,13334,1,NaN,30,"19.425311,-99.137421"
82,La Casa del Habanero,19.425724,-99.137601,Restaurant,13065,2,NaN,33,"19.425311,-99.137421"
83,Tacos Árabes Artabán,19.425295,-99.137753,Middle Eastern Restaurant,13309,2,NaN,34,"19.425311,-99.137421"
84,Salon Familiar la Mascota,19.425657,-99.137294,Bar,13003,2,NaN,49,"19.425311,-99.137421"
85,San Wichon,19.425725,-99.137285,Sandwich Restaurant,13334,1,NaN,55,"19.425311,-99.137421"
86,Arrachera's Grill,19.42541,-99.137263,American Restaurant,13068,4,7.5,152,"19.425311,-99.137421"
87,La Cima,19.432791,-99.151747,Bar,13003,2,NaN,3,"19.432819,-99.151734"
88,Viento en Popa,19.432556,-99.151432,Seafood Restaurant,13338,3,NaN,43,"19.432819,-99.151734"
89,Soy Capitán Pescadería,19.43041,-99.15444,Seafood Restaurant,13338,3,NaN,5,"19.430369,-99.154419"
90,Colmillo,19.430628,-99.154758,Cocktail Bar,13009,3,NaN,46,"19.430369,-99.154419"
91,Buscando que comer XD,19.430176,-99.15482,Afghan Restaurant,13066,2,NaN,47,"19.430369,-99.154419"
92,El Colmillo Affter,19.430025,-99.154647,Speakeasy,13021,3,NaN,55,"19.430369,-99.154419"
93,Circulo del Sureste,19.428783,-99.153416,Mexican Restaurant,13303,1,7.9,36,"19.428989,-99.153618"
94,Centro Yucateco Internacional,19.428811,-99.153349,Mexican Restaurant,13303,1,NaN,38,"19.428989,-99.153618"
95,McDonald's,19.429744,-99.159561,Burger Joint,13031,1,6.4,24,"19.429947,-99.159698"
96,La Cobacha,19.429725,-99.15964,Bar,13003,2,NaN,25,"19.429947,-99.159698"
