,POI_name,latitude,longitude,category_name,price,rating,distance,bike_ll
0,Casa de la Luz,19.42951,-99.13298,Hotels,NaN,4.5,49.0,"19.429189,-99.132759"
1,Marisqueria Victoria,19.4273417460636,-99.1369883895473,Juice Bars & Smoothies,$,5.0,34.0,"19.427059,-99.137116"
2,Sartoria,19.4219825268383,-99.1605806174459,Italian,NaN,3.5,20.0,"19.422148,-99.160645"
3,Buna,19.421939,-99.160531,Cafeteria,$,4.5,26.0,"19.422148,-99.160645"
4,Café Toscano,19.4218674016902,-99.1604640505473,Cafeteria,$$,3.5,37.0,"19.422148,-99.160645"
5,Lucas Local,19.4208542,-99.1564668,Mexican,$$$,3.0,28.0,"19.420667,-99.15645"
6,Limantour,19.418116,-99.159363,Cocktail Bars,$$,4.0,29.0,"19.418304,-99.15956"
7,Scimmia,19.41814,-99.15909,Pizza,$,4.0,38.0,"19.418304,-99.15956"
8,La Cervecería de Barrio,19.4184127291717,-99.1593255869594,Bars,$$,3.0,27.0,"19.418304,-99.15956"
9,Nueve Nueve,19.4185402,-99.1593761,Mexican,$$$,3.5,33.0,"19.418304,-99.15956"
10,Casa Jacaranda,19.418360918539,-99.1592984441803,Cooking Classes,$$,5.0,28.0,"19.418304,-99.15956"
11,Burger Bar Joint,19.4181765,-99.1591605,Burgers,$$,3.5,44.0,"19.418304,-99.15956"
12,Hotel Stanza,19.4195116371411,-99.1551032310341,Hotels,$$,3.5,32.0,"19.419225,-99.155099"
13,Catalina Brasserie,19.4172934577498,-99.1624291971449,French,$$,4.5,56.0,"19.417715,-99.162729"
14,Taquearte,19.4185711,-99.1566202,Tacos,$$,3.5,53.0,"19.418774,-99.157081"
15,Café Toscano,19.4158571360387,-99.1592712129342,Cafeteria,$$,4.0,29.0,"19.415905,-99.15954"
16,Broka,19.415736,-99.159936,Bistros,$$,4.0,46.0,"19.415905,-99.15954"
17,Hotel Marbella,19.41499,-99.154836,Hotels,$$,3.5,22.0,"19.415192,-99.154837"
18,Catamundi,19.4310870417945,-99.1957889541541,Bars,$$$,4.0,37.0,"19.431417,-99.195774"
19,Fogo de Chão,19.4312463,-99.1955928,Brazilian,$$$,4.0,27.0,"19.431417,-99.195774"
20,Deli & Vine,19.4314720862288,-99.1822064820159,Sandwiches,NaN,3.0,49.0,"19.431033,-99.18222"
21,El Chanclas,19.4301287531461,-99.193027611483,Spanish,NaN,3.5,63.0,"19.42977,-99.19349"
22,P.F. Chang's,19.394534,-99.173012,Chinese,$$$,2.0,34.0,"19.394842,-99.173025"
23,Gael,19.40686,-99.17228,Hostels,NaN,5.0,34.0,"19.407233,-99.172131"
24,Xampañería,19.4130442,-99.1714831,Tapas/Small Plates,$$$,4.0,21.0,"19.41299,-99.171675"
25,Azul,19.413002,-99.171575,Mexican,$$$,4.0,11.0,"19.41299,-99.171675"
26,Artic Bar,19.4127400034781,-99.1720442251312,Bars,$$$,3.5,48.0,"19.41299,-99.171675"
27,P.F. Chang's China Bistro,19.42906,-99.162369,Chinese,$$,4.0,65.0,"19.429453,-99.16283"
28,Hiyoko,19.429565,-99.169623,Japanese,$$$,5.0,32.0,"19.429804,-99.169451"
29,Xolo Itzcuintle,19.4348206175463,-99.1338158377459,Mexican,$$,2.0,18.0,"19.434962,-99.133729"
30,Hostal Mundo Joven,19.4352482235659,-99.1336478545511,Hostels,NaN,4.0,33.0,"19.434962,-99.133729"
31,Hostel Mundo Joven Catedral,19.4352482235659,-99.1336478545511,Hotels,$$,3.0,33.0,"19.434962,-99.133729"
32,Cedrón,19.416757226424,-99.1754293218572,Seafood,$$$,4.0,25.0,"19.41689,-99.17562"
33,Pata Negra,19.4341198360817,-99.1355602010961,Bars,$$,4.5,47.0,"19.433757,-99.135331"
34,Mercaderes,19.434115,-99.134902,Mexican,$$$,4.0,60.0,"19.433757,-99.135331"
35,Antonella Pizza,19.4334324,-99.1356701,Pizza,$$$,3.5,51.0,"19.433757,-99.135331"
36,Tortas al Fuego,19.4127052,-99.1668582,Tacos,$,4.5,32.0,"19.412982,-99.166936"
37,Las Chalupitas,19.4063017,-99.1724024,Pueblan,$$,4.0,31.0,"19.40655,-99.172275"
38,Taquería El Califa,19.4063333,-99.1725258,Tacos,$$,4.0,36.0,"19.40655,-99.172275"
39,La Vid Argentina,19.4066762,-99.1719699,Argentine,$$$,3.5,35.0,"19.40655,-99.172275"
40,Gael,19.40686,-99.17228,Hostels,NaN,5.0,44.0,"19.40655,-99.172275"
41,Domingo Santo,19.437132,-99.134074,Cafeteria,NaN,5.0,26.0,"19.436931,-99.133952"
42,Domingo Santo,19.437132,-99.134074,Hotels,NaN,4.5,26.0,"19.436931,-99.133952"
43,Hotel Plaza Florencia,19.4240317,-99.1663063,Hotels,$$,3.5,51.0,"19.424187,-99.166497"
44,Hotel Mision Juriquilla,19.3625698,-99.215538,Hotels,NaN,4.0,56.0,"19.427937,-99.161245"
45,Aventura,19.426656,-99.164426,Mexican,NaN,3.5,35.0,"19.426384,-99.164255"
46,La Terraza,19.4265181,-99.1641873,Bars,$,3.0,17.0,"19.426384,-99.164255"
47,Boomers,19.4266936802302,-99.1643020128975,Sports Bars,$$,3.0,35.0,"19.426384,-99.164255"
48,Comedor de los Milagros,19.4102471933073,-99.1642549564925,Latin American,NaN,4.0,39.0,"19.409894,-99.164288"
49,Taqueria La Negra,19.41895,-99.16979,Mexican,$,4.5,28.0,"19.41919,-99.169764"
50,Nevería Roxy,19.414267,-99.177084,Coffee & Tea,$$,4.5,21.0,"19.414119,-99.177214"
51,Hanky Panky,19.426985,-99.155745,Cocktail Bars,$$$,3.5,31.0,"19.426785,-99.155535"
52,P.F. Chang's China Bistro,19.42906,-99.162369,Chinese,$$,4.0,37.0,"19.42916,-99.162703"
53,Temporal,19.4103019,-99.1731002,Bars,$$,4.5,36.0,"19.410468,-99.172802"
54,Tasty Bites Food Tours,19.419924,-99.166422,Food Tours,NaN,5.0,47.0,"19.41955,-99.166214"
55,El Huequito,19.4166942033703,-99.1788648475464,Tacos,$$,4.0,26.0,"19.4165298,-99.1790435"
56,Los Canarios,19.4249052825159,-99.1735008041527,Mexican,NaN,3.5,49.0,"19.42454,-99.173247"
57,Maison Kayser,19.4249832029291,-99.1708340044878,French,$$,4.0,43.0,"19.42528,-99.171099"
